date,folder,subjectID,correctFolder,num
2016-02-12,MATCH_12135W3,12094,FALSE,1
2016-02-16,MATCH_12135W3,12094,FALSE,1
2016-02-17,MATCH_12135W3,12094_12135,FALSE,2
2016-02-24,MATCH_12218W3,12099,FALSE,1
2016-05-11,MATCH_12232W2,12099,FALSE,1
2016-01-11,MATCH_12230W1,12114,FALSE,1
2016-01-11,MATCH_12232W1,12114,FALSE,1
2016-01-21,MATCH_12232W1,12114,FALSE,1
2016-01-22,MATCH_12232W1,12114,FALSE,1
2016-01-27,MATCH_12232W1,12114,FALSE,1
2016-05-09,MATCH_11099W3,12114,FALSE,1
2016-05-09,MATCH_11232W2,12114,FALSE,1
2016-05-10,MATCH_11099W3,12114,FALSE,1
2016-05-10,MATCH_11232W2,12114,FALSE,1
2016-03-18,MATCH_12081W4,12115,FALSE,1
2016-04-04,MATCH_12087W4,12123,FALSE,1
2016-04-07,MATCH_12087W4,12123,FALSE,1
2016-04-04,MATCH_12041W4,12123_12041,FALSE,2
2016-03-18,MATCH_12095W3,12129,FALSE,1
2016-05-04,MATCH_12223W2,12131,FALSE,1
2016-05-18,MATCH_12099W3,12134,FALSE,1
2016-02-12,MATCH_12103W3,12136,FALSE,1
2016-02-16,MATCH_12103W3,12136,FALSE,1
2016-03-23,MATCH_12049W4,12137,FALSE,1
2016-03-28,MATCH_12061W4,12137,FALSE,1
2016-03-02,MATCH_12217W3,12149,FALSE,1
2016-02-24,MATCH_12126W3,12152,FALSE,1
2016-04-18,MATCH_12024W3,12157,FALSE,1
2016-05-03,MATCH_11186W3,12157,FALSE,1
2016-05-11,MATCH_12113W3,12157,FALSE,1
2016-05-16,MATCH_12134W3,12157,FALSE,1
2016-05-18,MATCH_12134W3,12157,FALSE,1
2016-05-23,MATCH_12134W3,12157,FALSE,1
2016-04-04,MATCH_12107W3,12159,FALSE,1
2016-02-23,MATCH_12171W3,12161,FALSE,1
2016-02-24,MATCH_12171W3,12161,FALSE,1
2016-04-18,MATCH_12192W3,12165,FALSE,1
2016-01-27,MATCH_12101W3,12166,FALSE,1
2016-05-11,MATCH_12134W3,12166,FALSE,1
2016-05-13,MATCH_12134W3,12166,FALSE,1
2016-03-02,MATCH_12097W3,12179,FALSE,1
2016-02-04,MATCH_12142W3,12181,FALSE,1
2016-02-03,MATCH_12112W3,12182,FALSE,1
2016-05-18,MATCH_12207W3,12189,FALSE,1
2016-05-19,MATCH_12207W3,12189,FALSE,1
2016-05-04,MATCH_11099W3,12199,FALSE,1
2016-05-04,MATCH_11232W2,12199,FALSE,1
2016-05-04,MATCH_12114W3,12199,FALSE,1
2016-04-06,MATCH_12083W4,12201,FALSE,1
2016-04-06,MATCH_12159W3,12201,FALSE,1
2016-01-11,MATCH_12178W3,12205,FALSE,1
2016-01-14,MATCH_12178W3,12205,FALSE,1
2016-01-15,MATCH_12178W3,12205,FALSE,1
2016-01-16,MATCH_12178W3,12205,FALSE,1
2016-01-25,MATCH_12112W3,12216,FALSE,1
2016-01-25,MATCH_12182W2,12216,FALSE,1
2016-01-25,MATCH_12224W1,12216,FALSE,1
2016-01-11,MATCH_12134W2,12220,FALSE,1
2016-01-27,MATCH_11082W3,12220,FALSE,1
2016-01-27,MATCH_12082W3,12220,FALSE,1
2016-02-03,MATCH_12082W3,12220,FALSE,1
2016-02-11,MATCH_12110W3,12220,FALSE,1
2016-02-16,MATCH_12110W3,12220,FALSE,1
2016-01-11,MATCH_12122W2,12221,FALSE,1
2016-01-11,MATCH_12133W3,12224,FALSE,1
2016-01-25,MATCH_12133W3,12224,FALSE,1
2016-05-09,MATCH_12211W2,12226,FALSE,1
2016-05-10,MATCH_12211W2,12226,FALSE,1
2016-01-11,MATCH_12229W1,12228,FALSE,1
2016-01-25,MATCH_12114W2,12230,FALSE,1
2016-01-25,MATCH_12232W1,12230,FALSE,1
2016-05-09,MATCH_12034W4,12232,FALSE,1
2016-05-10,MATCH_12034W4,12232,FALSE,1
